MetaClasse::ANG1A	Cycle1;EESL104_01;ELA106_01
Classe::EESL104_01	EESL104;00001;5.0;5.0;0;derg;nil;Gr101,Gr102
Classe::ELA106_01	ELA106;00001;5.0;5.0;0;malt;nil;Gr101,Gr102

MetaClasse::ANG1B	Cycle1;EESL104_03;ESL104_03
Classe::EESL104_03	EESL104;00003;5.0;5.0;0;derg;nil;Gr103,Gr104
Classe::ESL104_03	ESL104;00003;5.0;5.0;0;rayn;P201;Gr103,Gr104

MetaClasse::ANG1C	Cycle1;EESL104_05;ESL104_05
Classe::EESL104_05	EESL104;00005;5.0;5.0;0;derg;nil;Gr105,Gr106
Classe::ESL104_05	ESL104;00005;5.0;5.0;0;rayn;P201;Gr105,Gr106

MetaClasse::ANG1D	Cycle1;ELA106_07;ESL104_07
Classe::ELA106_07	ELA106;00007;5.0;5.0;0;malt;nil;Gr107,Gr108
Classe::ESL104_07	ESL104;00007;5.0;5.0;0;hari;nil;Gr107,Gr108

MetaClasse::ANG29	Cycle1;ESL204_29
Classe::ESL204_29	ESL204;00029;4.0;4.0;0;hari;nil;Gr29

MetaClasse::ANG2A	Cycle1;EESL204_01;ELA206_01
Classe::EESL204_01	EESL204;00001;4.0;4.0;0;rayn;P201;Gr21,Gr22
Classe::ELA206_01	ELA206;00001;4.0;4.0;0;derg;nil;Gr21,Gr22

MetaClasse::ANG2B	Cycle1;EESL204_03;ESL204_03
Classe::EESL204_03	EESL204;00003;4.0;4.0;0;rayn;P201;Gr23,Gr24
Classe::ESL204_03	ESL204;00003;4.0;4.0;0;hari;nil;Gr23,Gr24

MetaClasse::ANG2C	Cycle1;EESL204_05;ESL204_05
Classe::EESL204_05	EESL204;00005;4.0;4.0;0;rayn;P201;Gr25,Gr26
Classe::ESL204_05	ESL204;00005;4.0;4.0;0;derg;nil;Gr25,Gr26

MetaClasse::ANG2D	Cycle1;EESL204_07;ESL204_07
Classe::EESL204_07	EESL204;00007;4.0;4.0;0;rayn;P201;Gr27,Gr28
Classe::ESL204_07	ESL204;00007;4.0;4.0;0;hari;nil;Gr27,Gr28

MetaClasse::ANG39	Cycle2;ESL304_39
Classe::ESL304_39	ESL304;00039;5.0;5.0;0;dils;C203;Gr39

MetaClasse::ANG3A	Cycle2;EESL304_01;ELA306_01
Classe::EESL304_01	EESL304;00001;5.0;5.0;0;dils;C203;Gr31,Gr32
Classe::ELA306_01	ELA306;00001;5.0;5.0;0;mros;C204;Gr31,Gr32

MetaClasse::ANG3B	Cycle2;EESL304_03;ESL304_03
Classe::EESL304_03	EESL304;00003;5.0;5.0;0;dils;C203;Gr33,Gr34
Classe::ESL304_03	ESL304;00003;5.0;5.0;0;hilp;nil;Gr33,Gr34

MetaClasse::ANG3C	Cycle2;EESL304_05;ESL304_05
Classe::EESL304_05	EESL304;00005;5.0;5.0;0;broj;B106;Gr35,Gr36
Classe::ESL304_05	ESL304;00005;5.0;5.0;0;hilp;nil;Gr35,Gr36

MetaClasse::ANG3D	Cycle2;EESL304_07;ESL304_07
